row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,delivery_days,order_year,order_month,order_month_name,order_quarter,order_day,type_of_day
24,us-2018-156909,2018-07-16,2018-07-18,second class,sf-20065,sandra flanagan,consumer,philadelphia,pennsylvania,19140.0,east,fur-ch-10002774,furniture,chairs,"global deluxe stacking chair, gray",71.372,2,2018,7,jul,2018q3,monday,Weekday
25,ca-2016-106320,2016-09-25,2016-09-30,standard class,eb-13870,emily burns,consumer,orem,utah,84057.0,west,fur-ta-10000577,furniture,tables,bretford cr4500 series slim rectangular table,1044.63,5,2016,9,sep,2016q3,sunday,Weekday
26,ca-2017-121755,2017-01-16,2017-01-20,second class,eh-13945,eric hoffmann,consumer,los angeles,california,90049.0,west,off-bi-10001634,office supplies,binders,wilson jones active use binders,11.648,4,2017,1,jan,2017q1,monday,Weekday
27,ca-2017-121755,2017-01-16,2017-01-20,second class,eh-13945,eric hoffmann,consumer,los angeles,california,90049.0,west,tec-ac-10003027,technology,accessories,imation 8gb mini traveldrive usb 2.0 flash drive,90.57,4,2017,1,jan,2017q1,monday,Weekday
28,us-2016-150630,2016-09-17,2016-09-21,standard class,tb-21520,tracy blumstein,consumer,philadelphia,pennsylvania,19140.0,east,fur-bo-10004834,furniture,bookcases,"riverside palais royal lawyers bookcase, royale cherry finish",3083.43,4,2016,9,sep,2016q3,saturday,Weekday
29,us-2016-150630,2016-09-17,2016-09-21,standard class,tb-21520,tracy blumstein,consumer,philadelphia,pennsylvania,19140.0,east,off-bi-10000474,office supplies,binders,avery recycled flexi-view covers for binding systems,9.618,4,2016,9,sep,2016q3,saturday,Weekday
30,us-2016-150630,2016-09-17,2016-09-21,standard class,tb-21520,tracy blumstein,consumer,philadelphia,pennsylvania,19140.0,east,fur-fu-10004848,furniture,furnishings,"howard miller 13-3/4"" diameter brushed chrome round wall clock",124.2,4,2016,9,sep,2016q3,saturday,Weekday
31,us-2016-150630,2016-09-17,2016-09-21,standard class,tb-21520,tracy blumstein,consumer,philadelphia,pennsylvania,19140.0,east,off-en-10001509,office supplies,envelopes,poly string tie envelopes,3.264,4,2016,9,sep,2016q3,saturday,Weekday
32,us-2016-150630,2016-09-17,2016-09-21,standard class,tb-21520,tracy blumstein,consumer,philadelphia,pennsylvania,19140.0,east,off-ar-10004042,office supplies,art,"boston model 1800 electric pencil sharpeners, putty/woodgrain",86.304,4,2016,9,sep,2016q3,saturday,Weekday
33,us-2016-150630,2016-09-17,2016-09-21,standard class,tb-21520,tracy blumstein,consumer,philadelphia,pennsylvania,19140.0,east,off-bi-10001525,office supplies,binders,"acco pressboard covers with storage hooks, 14 7/8"" x 11"", executive red",6.858,4,2016,9,sep,2016q3,saturday,Weekday
34,us-2016-150630,2016-09-17,2016-09-21,standard class,tb-21520,tracy blumstein,consumer,philadelphia,pennsylvania,19140.0,east,off-ar-10001683,office supplies,art,lumber crayons,15.76,4,2016,9,sep,2016q3,saturday,Weekday
35,ca-2018-107727,2018-10-19,2018-10-23,second class,ma-17560,matt abelman,home office,houston,texas,77095.0,central,off-pa-10000249,office supplies,paper,easy-staple paper,29.472,4,2018,10,oct,2018q4,friday,Weekday
36,ca-2017-117590,2017-12-08,2017-12-10,first class,gh-14485,gene hale,corporate,richardson,texas,75080.0,central,tec-ph-10004977,technology,phones,ge 30524ee4,1097.544,2,2017,12,dec,2017q4,friday,Weekday
37,ca-2017-117590,2017-12-08,2017-12-10,first class,gh-14485,gene hale,corporate,richardson,texas,75080.0,central,fur-fu-10003664,furniture,furnishings,"electrix architect's clamp-on swing arm lamp, black",190.92,2,2017,12,dec,2017q4,friday,Weekday
38,ca-2016-117415,2016-12-27,2016-12-31,standard class,sn-20710,steve nguyen,home office,houston,texas,77041.0,central,off-en-10002986,office supplies,envelopes,"#10-4 1/8"" x 9 1/2"" premium diagonal seam envelopes",113.328,4,2016,12,dec,2016q4,tuesday,Weekday
39,ca-2016-117415,2016-12-27,2016-12-31,standard class,sn-20710,steve nguyen,home office,houston,texas,77041.0,central,fur-bo-10002545,furniture,bookcases,"atlantic metals mobile 3-shelf bookcases, custom colors",532.3992,4,2016,12,dec,2016q4,tuesday,Weekday
40,ca-2016-117415,2016-12-27,2016-12-31,standard class,sn-20710,steve nguyen,home office,houston,texas,77041.0,central,fur-ch-10004218,furniture,chairs,"global fabric manager's chair, dark gray",212.058,4,2016,12,dec,2016q4,tuesday,Weekday
41,ca-2016-117415,2016-12-27,2016-12-31,standard class,sn-20710,steve nguyen,home office,houston,texas,77041.0,central,tec-ph-10000486,technology,phones,plantronics hl10 handset lifter,371.168,4,2016,12,dec,2016q4,tuesday,Weekday
42,ca-2018-120999,2018-09-10,2018-09-15,standard class,lc-16930,linda cazamias,corporate,naperville,illinois,60540.0,central,tec-ph-10004093,technology,phones,panasonic kx-ts550,147.168,5,2018,9,sep,2018q3,monday,Weekday
43,ca-2017-101343,2017-07-17,2017-07-22,standard class,ra-19885,ruben ausman,corporate,los angeles,california,90049.0,west,off-st-10003479,office supplies,storage,"eldon base for stackable storage shelf, platinum",77.88,5,2017,7,jul,2017q3,monday,Weekday
44,ca-2018-139619,2018-09-19,2018-09-23,standard class,es-14080,erin smith,corporate,melbourne,florida,32935.0,south,off-st-10003282,office supplies,storage,"advantus 10-drawer portable organizer, chrome metal frame, smoke drawers",95.616,4,2018,9,sep,2018q3,wednesday,Weekday
45,ca-2017-118255,2017-03-11,2017-03-13,first class,on-18715,odella nelson,corporate,eagan,minnesota,55122.0,central,tec-ac-10000171,technology,accessories,"verbatim 25 gb 6x blu-ray single layer recordable disc, 25/pack",45.98,2,2017,3,mar,2017q1,saturday,Weekday
46,ca-2017-118255,2017-03-11,2017-03-13,first class,on-18715,odella nelson,corporate,eagan,minnesota,55122.0,central,off-bi-10003291,office supplies,binders,wilson jones leather-like binders with dubllock round rings,17.46,2,2017,3,mar,2017q1,saturday,Weekday
47,ca-2015-146703,2015-10-20,2015-10-25,second class,po-18865,patrick o'donnell,consumer,westland,michigan,48185.0,central,off-st-10001713,office supplies,storage,"gould plastics 9-pocket panel bin, 18-3/8w x 5-1/4d x 20-1/2h, black",211.96,5,2015,10,oct,2015q4,tuesday,Weekday
48,ca-2017-169194,2017-06-20,2017-06-25,standard class,lh-16900,lena hernandez,consumer,dover,delaware,19901.0,east,tec-ac-10002167,technology,accessories,imation 8gb micro traveldrive usb 2.0 flash drive,45.0,5,2017,6,jun,2017q2,tuesday,Weekday
49,ca-2017-169194,2017-06-20,2017-06-25,standard class,lh-16900,lena hernandez,consumer,dover,delaware,19901.0,east,tec-ph-10003988,technology,phones,"lf elite 3d dazzle designer hard case cover, lf stylus pen and wiper for apple iphone 5c mini lite",21.8,5,2017,6,jun,2017q2,tuesday,Weekday
50,ca-2016-115742,2016-04-18,2016-04-22,standard class,dp-13000,darren powers,consumer,new albany,indiana,47150.0,central,off-bi-10004410,office supplies,binders,"c-line peel & stick add-on filing pockets, 8-3/4 x 5-1/8, 10/pack",38.22,4,2016,4,apr,2016q2,monday,Weekday
51,ca-2016-115742,2016-04-18,2016-04-22,standard class,dp-13000,darren powers,consumer,new albany,indiana,47150.0,central,off-la-10002762,office supplies,labels,avery 485,75.18,4,2016,4,apr,2016q2,monday,Weekday
52,ca-2016-115742,2016-04-18,2016-04-22,standard class,dp-13000,darren powers,consumer,new albany,indiana,47150.0,central,fur-fu-10001706,furniture,furnishings,longer-life soft white bulbs,6.16,4,2016,4,apr,2016q2,monday,Weekday
53,ca-2016-115742,2016-04-18,2016-04-22,standard class,dp-13000,darren powers,consumer,new albany,indiana,47150.0,central,fur-ch-10003061,furniture,chairs,"global leather task chair, black",89.99,4,2016,4,apr,2016q2,monday,Weekday
54,ca-2017-105816,2017-12-11,2017-12-17,standard class,jm-15265,janet molinari,corporate,new york city,new york,10024.0,east,off-fa-10000304,office supplies,fasteners,advantus push pins,15.26,6,2017,12,dec,2017q4,monday,Weekday
55,ca-2017-105816,2017-12-11,2017-12-17,standard class,jm-15265,janet molinari,corporate,new york city,new york,10024.0,east,tec-ph-10002447,technology,phones,at&t cl83451 4-handset telephone,1029.95,6,2017,12,dec,2017q4,monday,Weekday
56,ca-2017-111682,2017-06-17,2017-06-18,first class,tb-21055,ted butterfield,consumer,troy,new york,12180.0,east,off-st-10000604,office supplies,storage,home/office personal file carts,208.56,1,2017,6,jun,2017q2,saturday,Weekday
57,ca-2017-111682,2017-06-17,2017-06-18,first class,tb-21055,ted butterfield,consumer,troy,new york,12180.0,east,off-pa-10001569,office supplies,paper,xerox 232,32.4,1,2017,6,jun,2017q2,saturday,Weekday
58,ca-2017-111682,2017-06-17,2017-06-18,first class,tb-21055,ted butterfield,consumer,troy,new york,12180.0,east,fur-ch-10003968,furniture,chairs,novimex turbo task chair,319.41,1,2017,6,jun,2017q2,saturday,Weekday
59,ca-2017-111682,2017-06-17,2017-06-18,first class,tb-21055,ted butterfield,consumer,troy,new york,12180.0,east,off-pa-10000587,office supplies,paper,"array parchment paper, assorted colors",14.56,1,2017,6,jun,2017q2,saturday,Weekday
60,ca-2017-111682,2017-06-17,2017-06-18,first class,tb-21055,ted butterfield,consumer,troy,new york,12180.0,east,tec-ac-10002167,technology,accessories,imation 8gb micro traveldrive usb 2.0 flash drive,30.0,1,2017,6,jun,2017q2,saturday,Weekday
61,ca-2017-111682,2017-06-17,2017-06-18,first class,tb-21055,ted butterfield,consumer,troy,new york,12180.0,east,off-bi-10001460,office supplies,binders,plastic binding combs,48.48,1,2017,6,jun,2017q2,saturday,Weekday
62,ca-2017-111682,2017-06-17,2017-06-18,first class,tb-21055,ted butterfield,consumer,troy,new york,12180.0,east,off-ar-10001868,office supplies,art,prang dustless chalk sticks,1.68,1,2017,6,jun,2017q2,saturday,Weekday
63,ca-2016-135545,2016-11-24,2016-11-30,standard class,km-16720,kunst miller,consumer,los angeles,california,90004.0,west,tec-ac-10004633,technology,accessories,"verbatim 25 gb 6x blu-ray single layer recordable disc, 3/pack",13.98,6,2016,11,nov,2016q4,thursday,Weekday
64,ca-2016-135545,2016-11-24,2016-11-30,standard class,km-16720,kunst miller,consumer,los angeles,california,90004.0,west,off-bi-10001078,office supplies,binders,"acco presstex data binder with storage hooks, dark blue, 14 7/8"" x 11""",25.824,6,2016,11,nov,2016q4,thursday,Weekday
65,ca-2016-135545,2016-11-24,2016-11-30,standard class,km-16720,kunst miller,consumer,los angeles,california,90004.0,west,off-pa-10003892,office supplies,paper,xerox 1943,146.73,6,2016,11,nov,2016q4,thursday,Weekday
66,ca-2016-135545,2016-11-24,2016-11-30,standard class,km-16720,kunst miller,consumer,los angeles,california,90004.0,west,fur-fu-10000397,furniture,furnishings,luxo economy swing arm lamp,79.76,6,2016,11,nov,2016q4,thursday,Weekday
67,us-2016-164175,2016-04-30,2016-05-05,standard class,ps-18970,paul stevenson,home office,chicago,illinois,60610.0,central,fur-ch-10001146,furniture,chairs,"global value mid-back manager's chair, gray",213.115,5,2016,4,apr,2016q2,saturday,Weekday
68,ca-2015-106376,2015-12-05,2015-12-10,standard class,bs-11590,brendan sweed,corporate,gilbert,arizona,85234.0,west,off-ar-10002671,office supplies,art,"hunt boston model 1606 high-volume electric pencil sharpener, beige",1113.024,5,2015,12,dec,2015q4,saturday,Weekday
69,ca-2015-106376,2015-12-05,2015-12-10,standard class,bs-11590,brendan sweed,corporate,gilbert,arizona,85234.0,west,tec-ph-10002726,technology,phones,nettalk duo voip telephone service,167.968,5,2015,12,dec,2015q4,saturday,Weekday
70,ca-2017-119823,2017-06-04,2017-06-06,first class,kd-16270,karen daniels,consumer,springfield,virginia,22153.0,south,off-pa-10000482,office supplies,paper,"snap-a-way black print carbonless ruled speed letter, triplicate",75.88,2,2017,6,jun,2017q2,sunday,Weekday
71,ca-2017-106075,2017-09-18,2017-09-23,standard class,hm-14980,henry macallister,consumer,new york city,new york,10009.0,east,off-bi-10004654,office supplies,binders,avery binding system hidden tab executive style index sets,4.616,5,2017,9,sep,2017q3,monday,Weekday
72,ca-2018-114440,2018-09-14,2018-09-17,second class,tb-21520,tracy blumstein,consumer,jackson,michigan,49201.0,central,off-pa-10004675,office supplies,paper,"telephone message books with fax/mobile section, 5 1/2"" x 3 3/16""",19.05,3,2018,9,sep,2018q3,friday,Weekday
73,us-2016-134026,2016-04-26,2016-05-02,standard class,je-15745,joel eaton,consumer,memphis,tennessee,38109.0,south,fur-ch-10000513,furniture,chairs,high-back leather manager's chair,831.936,6,2016,4,apr,2016q2,tuesday,Weekday
74,us-2016-134026,2016-04-26,2016-05-02,standard class,je-15745,joel eaton,consumer,memphis,tennessee,38109.0,south,fur-fu-10003708,furniture,furnishings,"tenex traditional chairmats for medium pile carpet, standard lip, 36"" x 48""",97.04,6,2016,4,apr,2016q2,tuesday,Weekday
75,us-2016-134026,2016-04-26,2016-05-02,standard class,je-15745,joel eaton,consumer,memphis,tennessee,38109.0,south,off-st-10004123,office supplies,storage,safco industrial wire shelving system,72.784,6,2016,4,apr,2016q2,tuesday,Weekday
76,us-2018-118038,2018-12-09,2018-12-11,first class,kb-16600,ken brennan,corporate,houston,texas,77041.0,central,off-bi-10004182,office supplies,binders,economy binders,1.248,2,2018,12,dec,2018q4,sunday,Weekday
77,us-2018-118038,2018-12-09,2018-12-11,first class,kb-16600,ken brennan,corporate,houston,texas,77041.0,central,fur-fu-10000260,furniture,furnishings,"6"" cubicle wall clock, black",9.708,2,2018,12,dec,2018q4,sunday,Weekday
78,us-2018-118038,2018-12-09,2018-12-11,first class,kb-16600,ken brennan,corporate,houston,texas,77041.0,central,off-st-10000615,office supplies,storage,"simplifile personal file, black granite, 15w x 6-15/16d x 11-1/4h",27.24,2,2018,12,dec,2018q4,sunday,Weekday
79,us-2015-147606,2015-11-26,2015-12-01,second class,je-15745,joel eaton,consumer,houston,texas,77070.0,central,fur-fu-10003194,furniture,furnishings,"eldon expressions desk accessory, wood pencil holder, oak",19.3,5,2015,11,nov,2015q4,thursday,Weekday
80,ca-2017-127208,2017-06-12,2017-06-15,first class,sc-20770,stewart carmichael,corporate,decatur,alabama,35601.0,south,off-ap-10002118,office supplies,appliances,"1.7 cubic foot compact ""cube"" office refrigerators",208.16,3,2017,6,jun,2017q2,monday,Weekday
81,ca-2017-127208,2017-06-12,2017-06-15,first class,sc-20770,stewart carmichael,corporate,decatur,alabama,35601.0,south,off-bi-10002309,office supplies,binders,avery heavy-duty ezd  binder with locking rings,16.74,3,2017,6,jun,2017q2,monday,Weekday
82,ca-2015-139451,2015-10-12,2015-10-16,standard class,dn-13690,duane noonan,consumer,san francisco,california,94122.0,west,off-ar-10002053,office supplies,art,"premium writing pencils, soft, #2 by central association for the blind",14.9,4,2015,10,oct,2015q4,monday,Weekday
83,ca-2015-139451,2015-10-12,2015-10-16,standard class,dn-13690,duane noonan,consumer,san francisco,california,94122.0,west,off-st-10002370,office supplies,storage,"sortfiler multipurpose personal file organizer, black",21.39,4,2015,10,oct,2015q4,monday,Weekday
84,ca-2016-149734,2016-09-03,2016-09-08,standard class,jc-16105,julie creighton,corporate,durham,north carolina,27707.0,south,off-en-10000927,office supplies,envelopes,jet-pak recycled peel 'n' seal padded mailers,200.984,5,2016,9,sep,2016q3,saturday,Weekday
85,us-2018-119662,2018-11-13,2018-11-16,first class,cs-12400,christopher schild,home office,chicago,illinois,60623.0,central,off-st-10003656,office supplies,storage,safco industrial wire shelving,230.376,3,2018,11,nov,2018q4,tuesday,Weekday
86,ca-2018-140088,2018-05-28,2018-05-30,second class,po-18865,patrick o'donnell,consumer,columbia,south carolina,29203.0,south,fur-ch-10000863,furniture,chairs,novimex swivel fabric task chair,301.96,2,2018,5,may,2018q2,monday,Weekday
87,ca-2018-155558,2018-10-26,2018-11-02,standard class,pg-18895,paul gonzalez,consumer,rochester,minnesota,55901.0,central,tec-ac-10001998,technology,accessories,logitech ls21 speaker system - pc multimedia - 2.1-ch - wired,19.99,7,2018,10,oct,2018q4,friday,Weekday
88,ca-2018-155558,2018-10-26,2018-11-02,standard class,pg-18895,paul gonzalez,consumer,rochester,minnesota,55901.0,central,off-la-10000134,office supplies,labels,avery 511,6.16,7,2018,10,oct,2018q4,friday,Weekday
89,ca-2017-159695,2017-04-05,2017-04-10,second class,gm-14455,gary mitchum,home office,houston,texas,77095.0,central,off-st-10003442,office supplies,storage,eldon portable mobile manager,158.368,5,2017,4,apr,2017q2,wednesday,Weekday
90,ca-2017-109806,2017-09-17,2017-09-22,standard class,js-15685,jim sink,corporate,los angeles,california,90036.0,west,off-ar-10004930,office supplies,art,turquoise lead holder with pocket clip,20.1,5,2017,9,sep,2017q3,sunday,Weekday
91,ca-2017-109806,2017-09-17,2017-09-22,standard class,js-15685,jim sink,corporate,los angeles,california,90036.0,west,tec-ph-10004093,technology,phones,panasonic kx-ts550,73.584,5,2017,9,sep,2017q3,sunday,Weekday
92,ca-2017-109806,2017-09-17,2017-09-22,standard class,js-15685,jim sink,corporate,los angeles,california,90036.0,west,off-pa-10000304,office supplies,paper,xerox 1995,6.48,5,2017,9,sep,2017q3,sunday,Weekday
93,ca-2016-149587,2016-01-31,2016-02-05,second class,kb-16315,karl braun,consumer,minneapolis,minnesota,55407.0,central,off-pa-10003177,office supplies,paper,xerox 1999,12.96,5,2016,1,jan,2016q1,sunday,Weekday
94,ca-2016-149587,2016-01-31,2016-02-05,second class,kb-16315,karl braun,consumer,minneapolis,minnesota,55407.0,central,fur-fu-10003799,furniture,furnishings,"seth thomas 13 1/2"" wall clock",53.34,5,2016,1,jan,2016q1,sunday,Weekday
95,ca-2016-149587,2016-01-31,2016-02-05,second class,kb-16315,karl braun,consumer,minneapolis,minnesota,55407.0,central,off-bi-10002852,office supplies,binders,ibico standard transparent covers,32.96,5,2016,1,jan,2016q1,sunday,Weekday
96,us-2018-109484,2018-11-06,2018-11-12,standard class,rb-19705,roger barcio,home office,portland,oregon,97206.0,west,off-bi-10004738,office supplies,binders,flexible leather- look classic collection ring binder,5.682,6,2018,11,nov,2018q4,tuesday,Weekday
97,ca-2018-161018,2018-11-09,2018-11-11,second class,pn-18775,parhena norris,home office,new york city,new york,10009.0,east,fur-fu-10000629,furniture,furnishings,9-3/4 diameter round wall clock,96.53,2,2018,11,nov,2018q4,friday,Weekday
98,ca-2018-157833,2018-06-17,2018-06-20,first class,kd-16345,katherine ducich,consumer,san francisco,california,94122.0,west,off-bi-10001721,office supplies,binders,trimflex flexible post binders,51.312,3,2018,6,jun,2018q2,sunday,Weekday
99,ca-2017-149223,2017-09-06,2017-09-11,standard class,er-13855,elpida rittenbach,corporate,saint paul,minnesota,55106.0,central,off-ap-10000358,office supplies,appliances,fellowes basic home/office series surge protectors,77.88,5,2017,9,sep,2017q3,wednesday,Weekday
100,ca-2017-158568,2017-08-29,2017-09-02,standard class,rb-19465,rick bensley,home office,chicago,illinois,60610.0,central,off-pa-10003256,office supplies,paper,avery personal creations heavyweight cards,64.624,4,2017,8,aug,2017q3,tuesday,Weekday
101,ca-2017-158568,2017-08-29,2017-09-02,standard class,rb-19465,rick bensley,home office,chicago,illinois,60610.0,central,tec-ac-10001767,technology,accessories,sandisk ultra 64 gb microsdhc class 10 memory card,95.976,4,2017,8,aug,2017q3,tuesday,Weekday
102,ca-2017-158568,2017-08-29,2017-09-02,standard class,rb-19465,rick bensley,home office,chicago,illinois,60610.0,central,off-bi-10002609,office supplies,binders,avery hidden tab dividers for binding systems,1.788,4,2017,8,aug,2017q3,tuesday,Weekday
103,ca-2017-129903,2017-12-01,2017-12-04,second class,gz-14470,gary zandusky,consumer,rochester,minnesota,55901.0,central,off-pa-10004040,office supplies,paper,universal premium white copier/laser paper (20lb. and 87 bright),23.92,3,2017,12,dec,2017q4,friday,Weekday
104,us-2016-156867,2016-11-13,2016-11-17,standard class,lc-16870,lena cacioppo,consumer,aurora,colorado,80013.0,west,tec-ac-10001552,technology,accessories,logitech k350 2.4ghz wireless keyboard,238.896,4,2016,11,nov,2016q4,sunday,Weekday
105,us-2016-156867,2016-11-13,2016-11-17,standard class,lc-16870,lena cacioppo,consumer,aurora,colorado,80013.0,west,fur-fu-10004006,furniture,furnishings,"deflect-o duramat lighweight, studded, beveled mat for low pile carpeting",102.36,4,2016,11,nov,2016q4,sunday,Weekday
106,us-2016-156867,2016-11-13,2016-11-17,standard class,lc-16870,lena cacioppo,consumer,aurora,colorado,80013.0,west,off-bi-10002794,office supplies,binders,"avery trapezoid ring binder, 3"" capacity, black, 1040 sheets",36.882,4,2016,11,nov,2016q4,sunday,Weekday
107,ca-2018-119004,2018-11-23,2018-11-28,standard class,jm-15250,janet martin,consumer,charlotte,north carolina,28205.0,south,tec-ac-10003499,technology,accessories,memorex mini travel drive 8 gb usb 2.0 flash drive,74.112,5,2018,11,nov,2018q4,friday,Weekday
108,ca-2018-119004,2018-11-23,2018-11-28,standard class,jm-15250,janet martin,consumer,charlotte,north carolina,28205.0,south,tec-ph-10002844,technology,phones,speck products candyshell flip case,27.992,5,2018,11,nov,2018q4,friday,Weekday
109,ca-2018-119004,2018-11-23,2018-11-28,standard class,jm-15250,janet martin,consumer,charlotte,north carolina,28205.0,south,off-ar-10000390,office supplies,art,newell chalk holder,3.304,5,2018,11,nov,2018q4,friday,Weekday
110,ca-2016-129476,2016-10-15,2016-10-20,standard class,pa-19060,pete armstrong,home office,orland park,illinois,60462.0,central,tec-ac-10000844,technology,accessories,logitech gaming g510s - keyboard,339.96,5,2016,10,oct,2016q4,saturday,Weekday
111,ca-2018-146780,2018-12-25,2018-12-30,standard class,cv-12805,cynthia voltz,corporate,new york city,new york,10035.0,east,fur-fu-10001934,furniture,furnishings,magnifier swing arm lamp,41.96,5,2018,12,dec,2018q4,tuesday,Weekday
